id,hedge_id,asset_id,projet_id,projet,technologie,type_hedge,date_debut,date_fin,date_dementelement,puissance_installée,en_planif,profil,pct_couverture,contrepartie,pays_contrepartie
196,196,196,NGE12,Prospection NGE 12 (PV),solaire,CR,2027-01-01,2047-01-01,,3.93984,TRUE,,1,,
197,197,197,NGE13,Prospection NGE 13,éolien,CR,2026-11-01,2046-11-01,,9.584,TRUE,,1,,
198,198,198,NGE14,Prospection NGE 14 (PV),solaire,CR,2026-08-01,2046-08-01,,4.9248,TRUE,,1,,
199,199,199,NGE15,Prospection NGE 15 (PV),solaire,CR,2026-10-01,2046-10-01,,4.9248,TRUE,,1,,
200,200,200,NGE16,Prospection NGE 16 (PV),solaire,CR,2026-12-01,2046-12-01,,4.9248,TRUE,,1,,
201,201,201,NGE17,Prospection NGE 17 (PV),solaire,CR,2027-01-01,2047-01-01,,4.9248,TRUE,,1,,
202,202,202,NGE18,Prospection NGE 18,éolien,CR,2028-08-01,2048-08-01,,9.216,TRUE,,1,,
203,203,203,NGE2,Prospection NGE 2 (PV),solaire,CR,2026-09-01,2046-09-01,,4.9248,TRUE,,1,,
204,204,204,NGE22,Prospection NGE 22 (PV),solaire,CR,2027-06-01,2047-06-01,,3.93984,TRUE,,1,,
205,205,205,NGE23,Prospection NGE 23 (PV),solaire,CR,2027-06-01,2047-06-01,,3.93984,TRUE,,1,,
206,206,206,NGE4,Prospection NGE 4 (PV),solaire,CR,2027-02-01,2047-02-01,,3.93984,TRUE,,1,,
207,207,207,NGE5,Prospection NGE 5,éolien,CR,2028-04-01,2048-04-01,,9.216,TRUE,,1,,
208,208,208,NGE20,Prospection NGE20,éolien,CR,2029-03-01,2049-03-01,,7.3728,TRUE,,1,,
209,209,209,NGE21,Prospection NGE21,éolien,CR,2029-03-01,2049-03-01,,7.3728,TRUE,,1,,
210,210,210,GO06,Prospection PV 2022 (Igoville Commune),solaire,CR,2026-07-01,2046-07-01,,7.3872,TRUE,,1,,
211,211,211,AURA40,Prospection PV MC - 2,solaire,CR,2027-02-01,2047-02-01,,3.93984,TRUE,,1,,
212,212,212,AURA43,Prospection éolien AURA - 1,éolien,CR,2028-12-01,2048-12-01,,9.216,TRUE,,1,,
213,213,213,AURA44,Prospection éolien MC - 2,éolien,CR,2028-10-01,2048-10-01,,9.216,TRUE,,1,,
214,214,214,AURA45,Prospection PV MC - 4,solaire,CR,2026-11-01,2046-11-01,,4.9248,TRUE,,1,,
215,215,215,AURA46,Prospection éolien MC - 3,éolien,CR,2028-07-01,2048-07-01,,9.216,TRUE,,1,,
216,216,216,AURA47,Agri-PV AURA -1,solaire,CR,2026-12-01,2046-12-01,,1.47744,TRUE,,1,,
217,217,217,AURA48,Agri-PV AURA -2,solaire,CR,2027-05-01,2047-05-01,,1.18195,TRUE,,1,,
218,218,218,BFC01,Clérimois II,éolien,CR,2027-06-01,2047-06-01,,17.28,TRUE,,1,,
219,219,219,BFC02,Prospection éolien BFC - 1,éolien,CR,2028-09-01,2048-09-01,,9.216,TRUE,,1,,
220,220,220,GO12,Prospection PV GO 2022 - 3 - ,solaire,CR,2027-01-01,2047-01-01,,7.3872,TRUE,,1,,
221,221,221,BFC03,Gurgy (Nouzeau),solaire,CR,2025-07-01,2045-07-01,,15.39,TRUE,,1,,
222,222,222,BFC04,Rosoy (Plaine de Nange),solaire,CR,2024-03-01,2044-03-01,,21.546,TRUE,,1,,
223,223,223,BFC05,Villemanoche CEMEX (La Herse),solaire,CR,2025-04-01,2045-04-01,,18.468,TRUE,,1,,
224,224,224,BFC06,Prospection éolien BFC - 2,éolien,CR,2028-06-01,2048-06-01,,9.216,TRUE,,1,,
